[2018-04-15 18:09:09,190] Episode: 0 | Actor Loss: 0.00
[2018-04-15 18:09:17,784] Episode: 0 | Saver reach checkpoint.
[2018-04-15 18:09:17,784] Episode: 1 | Actor Loss: -30.05
[2018-04-15 18:09:25,325] Episode: 2 | Actor Loss: -27.67
[2018-04-15 18:09:33,057] Episode: 3 | Actor Loss: -28.57
[2018-04-15 18:09:40,871] Episode: 4 | Actor Loss: -27.56
[2018-04-15 18:09:50,772] Episode: 5 | Actor Loss: -26.06
[2018-04-15 18:09:58,887] Episode: 6 | Actor Loss: -25.36
[2018-04-15 18:10:06,812] Episode: 7 | Actor Loss: -26.84
[2018-04-15 18:10:14,937] Episode: 8 | Actor Loss: -27.92
[2018-04-15 18:10:22,932] Episode: 9 | Actor Loss: -16.28
[2018-04-15 18:10:30,638] Episode: 10 | Actor Loss: -23.40
