[2018-04-15 18:09:09,353] Code: 601398, not exists in Positions, sell failed.
[2018-04-15 18:09:09,355] Code: 601998, not exists in Positions, sell failed.
[2018-04-15 18:09:09,358] Code: 600036, not exists in Positions, sell failed.
[2018-04-15 18:09:09,362] Code: 600036, not exists in Positions, sell failed.
[2018-04-15 18:09:09,363] Code: 600036, not exists in Positions, sell failed.
[2018-04-15 18:09:09,365] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:09,372] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:09,379] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:09,432] Code: 600036, not exists in Positions, sell failed.
[2018-04-15 18:09:09,447] Code: 601398, not exists in Positions, sell failed.
[2018-04-15 18:09:09,472] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:09,484] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:09,491] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:10,063] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:10,070] Code: 601398, not exists in Positions, sell failed.
[2018-04-15 18:09:10,143] Code: 601398, not exists in Positions, sell failed.
[2018-04-15 18:09:10,148] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:10,160] Code: 601398, not exists in Positions, sell failed.
[2018-04-15 18:09:10,205] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:10,243] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:10,244] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:10,246] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:10,265] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:11,265] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,270] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,293] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,296] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,300] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,328] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,331] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,352] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,354] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,358] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,360] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,372] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,376] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,414] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:11,416] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,419] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,421] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,425] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,430] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,432] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,434] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,438] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,450] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,455] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:11,465] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,467] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,472] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,510] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,512] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,521] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,530] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,542] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,554] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,561] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,564] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,573] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,581] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,590] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,596] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,598] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,600] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:11,606] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,608] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,614] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,618] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:11,619] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,625] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,629] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,633] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,635] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,637] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,639] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,642] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:11,644] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,646] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,648] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,653] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,655] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,657] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,666] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,671] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,673] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,675] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,679] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,680] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,687] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,689] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,697] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,698] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,700] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,706] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,716] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,718] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,720] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,723] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,732] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:11,734] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,736] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,762] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,769] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,779] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,781] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,787] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,845] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,850] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,864] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,873] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,874] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,880] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:11,902] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,906] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,908] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:11,918] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,920] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,934] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:11,944] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:11,970] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,981] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,986] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:11,998] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,002] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,014] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,021] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:12,023] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,024] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,031] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,040] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,042] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,047] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,049] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,051] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,054] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,058] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,060] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,064] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,066] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,068] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,070] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,096] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,106] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,115] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,121] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,123] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,134] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,136] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,140] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,141] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,145] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:12,148] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,160] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,169] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,175] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,180] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,184] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,186] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,188] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,193] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,195] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,197] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,199] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,207] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,214] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,219] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,221] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,225] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,232] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,234] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,251] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,308] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,309] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,314] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,351] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,358] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,360] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,370] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,372] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,376] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,378] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,379] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,388] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,394] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,399] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,403] Code: 601998, not enough cash, cannot buy.
